"","Initiator","Recipient","weight","round","Date","Period"
"1","MN62","MN33","1",1,"2021-06-02","1"
"2","MN62","MN39","1",1,"2021-06-02","1"
"3","MN62","MN67","1",1,"2021-06-02","1"
"4","MN62","MN45","1",1,"2021-06-02","1"
"5","MN62","MN56","1",1,"2021-06-02","1"
"6","MN33","MN39","1",1,"2021-06-02","1"
"7","MN33","MN67","1",1,"2021-06-02","1"
"8","MN33","MN45","1",1,"2021-06-02","1"
"9","MN33","MN56","1",1,"2021-06-02","1"
"10","MN39","MN67","1",1,"2021-06-02","1"
"11","MN39","MN45","1",1,"2021-06-02","1"
"12","MN39","MN56","1",1,"2021-06-02","1"
"13","MN67","MN45","1",1,"2021-06-02","1"
"14","MN67","MN56","1",1,"2021-06-02","1"
"15","MN45","MN56","1",1,"2021-06-02","1"
"16","MN40","MN21","1",1,"2021-06-02","1"
"17","MN2","MN28","1",1,"2021-06-02","1"
"18","MN36","MN8","1",1,"2021-06-02","1"
"19","MN12","MN32","1",1,"2021-06-02","1"
"20","MN65","MN20","1",1,"2021-06-02","1"
"21","MN65","MN54","1",1,"2021-06-02","1"
"22","MN20","MN54","1",1,"2021-06-02","1"
"23","MN23","MN35","1",1,"2021-06-02","1"
"24","MN23","MN29","1",1,"2021-06-02","1"
"25","MN35","MN29","1",1,"2021-06-02","1"
"26","MN62","MN45","1",2,"2021-06-02","1"
"27","MN40","MN21","1",2,"2021-06-02","1"
"28","MN41","MN63B","1",2,"2021-06-02","1"
"29","MN28","MN2","1",2,"2021-06-02","1"
"30","MN53","MN12","1",2,"2021-06-02","1"
"31","MN54","MN20","1",2,"2021-06-02","1"
"32","MN54","MN65","1",2,"2021-06-02","1"
"33","MN20","MN65","1",2,"2021-06-02","1"
"34","MN59","MN23","1",2,"2021-06-02","1"
"35","MN62","MN45","1",3,"2021-06-02","1"
"36","MN62","MN56","1",3,"2021-06-02","1"
"37","MN62","MN67","1",3,"2021-06-02","1"
"38","MN62","MN39","1",3,"2021-06-02","1"
"39","MN45","MN56","1",3,"2021-06-02","1"
"40","MN45","MN67","1",3,"2021-06-02","1"
"41","MN45","MN39","1",3,"2021-06-02","1"
"42","MN56","MN67","1",3,"2021-06-02","1"
"43","MN56","MN39","1",3,"2021-06-02","1"
"44","MN67","MN39","1",3,"2021-06-02","1"
"45","MN40","MN21","1",3,"2021-06-02","1"
"46","MN2","MN28","1",3,"2021-06-02","1"
"47","MN36","MN22","1",3,"2021-06-02","1"
"48","MN36","MN57","1",3,"2021-06-02","1"
"49","MN22","MN57","1",3,"2021-06-02","1"
"50","MN53","MN12","1",3,"2021-06-02","1"
"51","MN64","MN54","1",3,"2021-06-02","1"
"52","MN64","MN20","1",3,"2021-06-02","1"
"53","MN54","MN20","1",3,"2021-06-02","1"
"54","MN23","MN29","1",3,"2021-06-02","1"
"55","MN23","MN35","1",3,"2021-06-02","1"
"56","MN23","MN55","1",3,"2021-06-02","1"
"57","MN29","MN35","1",3,"2021-06-02","1"
"58","MN29","MN55","1",3,"2021-06-02","1"
"59","MN35","MN55","1",3,"2021-06-02","1"
"60","MN45","MN62","1",4,"2021-06-02","1"
"61","MN45","MN67","1",4,"2021-06-02","1"
"62","MN45","MN56","1",4,"2021-06-02","1"
"63","MN45","MN39","1",4,"2021-06-02","1"
"64","MN62","MN67","1",4,"2021-06-02","1"
"65","MN62","MN56","1",4,"2021-06-02","1"
"66","MN62","MN39","1",4,"2021-06-02","1"
"67","MN67","MN56","1",4,"2021-06-02","1"
"68","MN67","MN39","1",4,"2021-06-02","1"
"69","MN56","MN39","1",4,"2021-06-02","1"
"70","MN40","MN21","1",4,"2021-06-02","1"
"71","MN41","MN63B","1",4,"2021-06-02","1"
"72","MN59","MN29","1",4,"2021-06-02","1"
"73","MN59","MN35","1",4,"2021-06-02","1"
"74","MN59","MN55","1",4,"2021-06-02","1"
"75","MN29","MN35","1",4,"2021-06-02","1"
"76","MN29","MN55","1",4,"2021-06-02","1"
"77","MN35","MN55","1",4,"2021-06-02","1"
"78","MN43","MN65","1",4,"2021-06-03","1"
"79","MN31","MN44","1",4,"2021-06-03","1"
"80","MN31","MN2","1",4,"2021-06-03","1"
"81","MN31","MN11","1",4,"2021-06-03","1"
"82","MN31","MN1","1",4,"2021-06-03","1"
"83","MN31","MN28","1",4,"2021-06-03","1"
"84","MN44","MN2","1",4,"2021-06-03","1"
"85","MN44","MN11","1",4,"2021-06-03","1"
"86","MN44","MN1","1",4,"2021-06-03","1"
"87","MN44","MN28","1",4,"2021-06-03","1"
"88","MN2","MN11","1",4,"2021-06-03","1"
"89","MN2","MN1","1",4,"2021-06-03","1"
"90","MN2","MN28","1",4,"2021-06-03","1"
"91","MN11","MN1","1",4,"2021-06-03","1"
"92","MN11","MN28","1",4,"2021-06-03","1"
"93","MN1","MN28","1",4,"2021-06-03","1"
"94","MN46","MN42","1",4,"2021-06-03","1"
"95","MN51","MN20","1",4,"2021-06-03","1"
"96","MN22","MN49","1",4,"2021-06-03","1"
"97","MN22","MN39","1",4,"2021-06-03","1"
"98","MN22","MN55","1",4,"2021-06-03","1"
"99","MN22","MN66","1",4,"2021-06-03","1"
"100","MN49","MN39","1",4,"2021-06-03","1"
"101","MN49","MN55","1",4,"2021-06-03","1"
"102","MN49","MN66","1",4,"2021-06-03","1"
"103","MN39","MN55","1",4,"2021-06-03","1"
"104","MN39","MN66","1",4,"2021-06-03","1"
