"","ID.y","first_day","last_day","n_obs","length_obs"
"1","MN1",2021-06-03,2021-07-20,27,48
"2","MN11",2021-06-01,2021-06-15,15,15
"3","MN12",2021-06-02,2021-07-20,47,49
"4","MN13A",2021-06-01,2021-07-22,49,52
"5","MN13B",2021-06-03,2021-07-22,44,50
"6","MN14",2021-06-02,2021-07-22,42,51
"7","MN15",2021-06-02,2021-07-06,34,35
"8","MN16",2021-06-02,2021-07-22,31,51
"9","MN17",2021-06-01,2021-07-07,37,37
"10","MN18",2021-06-01,2021-07-05,27,35
"11","MN19",2021-06-01,2021-07-15,36,45
"12","MN2",2021-06-01,2021-07-06,29,36
"13","MN20",2021-06-01,2021-07-08,38,38
"14","MN21",2021-06-01,2021-07-22,50,52
"15","MN22",2021-06-02,2021-07-22,50,51
"16","MN23",2021-06-02,2021-07-22,39,51
"17","MN25",2021-06-22,2021-06-22,1,1
"18","MN26",2021-06-01,2021-07-15,31,45
"19","MN27",2021-06-05,2021-07-02,3,28
"20","MN28",2021-06-01,2021-07-22,51,52
"21","MN29",2021-06-01,2021-07-22,49,52
"22","MN30",2021-06-01,2021-07-05,26,35
"23","MN31",2021-06-03,2021-07-22,45,50
"24","MN32",2021-06-02,2021-06-10,9,9
"25","MN33",2021-06-02,2021-07-02,20,31
"26","MN34",2021-06-01,2021-06-01,1,1
"27","MN35",2021-06-02,2021-07-01,23,30
"28","MN36",2021-06-01,2021-06-06,6,6
"29","MN37",2021-06-04,2021-06-28,4,25
"30","MN38",2021-06-04,2021-06-05,2,2
"31","MN39",2021-06-02,2021-06-13,11,12
"32","MN40",2021-06-02,2021-07-22,48,51
"33","MN41",2021-06-02,2021-07-22,43,51
"34","MN42",2021-06-03,2021-06-08,6,6
"35","MN43",2021-06-01,2021-07-22,50,52
"36","MN44",2021-06-02,2021-07-22,50,51
"37","MN45",2021-06-01,2021-07-22,33,52
"38","MN46",2021-06-02,2021-07-07,28,36
"39","MN47",2021-07-02,2021-07-02,1,1
"40","MN48",2021-06-01,2021-07-05,25,35
"41","MN49",2021-06-01,2021-06-04,3,4
"42","MN50",2021-06-08,2021-06-11,4,4
"43","MN51",2021-06-01,2021-07-20,32,50
"44","MN53",2021-06-01,2021-06-03,3,3
"45","MN54",2021-06-02,2021-07-22,50,51
"46","MN55",2021-06-02,2021-07-22,50,51
"47","MN56",2021-06-01,2021-07-02,25,32
"48","MN57",2021-06-01,2021-07-03,5,33
"49","MN58",2021-06-04,2021-07-10,27,37
"50","MN59",2021-06-01,2021-07-03,33,33
"51","MN60",2021-06-01,2021-07-22,49,52
"52","MN61",2021-06-02,2021-06-12,10,11
"53","MN62",2021-06-01,2021-06-10,10,10
"54","MN63A",2021-06-03,2021-06-24,18,22
"55","MN63B",2021-06-02,2021-06-26,25,25
"56","MN64",2021-06-01,2021-07-12,26,42
"57","MN65",2021-06-01,2021-06-07,7,7
"58","MN66",2021-06-03,2021-07-02,12,30
"59","MN67",2021-06-01,2021-07-22,47,52
"60","MN68",2021-06-05,2021-06-07,2,3
"61","MN69",2021-06-03,2021-07-22,46,50
"62","MN7",2021-06-01,2021-07-09,20,39
"63","MN70",2021-06-02,2021-07-22,44,51
"64","MN71",2021-06-01,2021-07-22,46,52
"65","MN75",2021-06-01,2021-06-01,1,1
"66","MN76",2021-06-01,2021-07-21,41,51
"67","MN8",2021-06-02,2021-06-23,15,22
