"","ID","Weight","NestID","Cell_Count","dominance","nest_choice","max_stable_group"
"1","MN30","0.12","1",4,"a","y",1
"2","MN12","0.14","2",32,"s","y",3
"3","MN17","0.17","2",32,"s","y",3
"4","MN28","0.15","2",32,"d","y",3
"5","MN32","0.16","2",32,"s","y",3
"6","MN13A","0.13","4",46,"d","y",2
"7","MN13B","0.09","4",46,"s","y",2
"8","MN54","0.17","8",64,"d","y",2
"9","MN71","0.11","8",64,"s","y",2
"10","MN43","0.17","13",16,"a","y",1
"11","MN58","0.14","19",10,"a","y",1
"12","MN15","0.13","21",22,"a","y",1
"13","MN23","0.14","21",22,"a","y",1
"14","MN29","0.17","25",33,"s","y",3
"15","MN40","0.15","25",33,"d","y",3
"16","MN59","0.19","25",33,"s","y",3
"17","MN18","0.13","27",12,"s","y",3
"18","MN76","0.16","27",12,"s","y",3
"19","MN63B","0.17","27",12,"d","y",3
"20","MN41","0.13","28",22,"s","y",2
"21","MN44","0.17","28",22,"d","y",2
"22","MN20","0.13","36",19,"d","y",2
"23","MN21","0.14","36",19,"s","y",2
"24","MN22","0.12","37",63,"d","y",3
"25","MN69","0.17","37",63,"s","y",3
"26","MN70","0.13","37",63,"s","y",3
"27","MN67","0.16","38",12,"a","y",1
"28","MN14","0.17","40",0,"a","y",1
"29","MN60","0.14","F2",12,"a","y",1
"30","MN31","0.14","FRC",24,"s","y",2
"31","MN55","0.17","FRC",24,"d","y",3
"32","MN48","0.16","FRC",24,"s","y",3
"33","MN24","0.16",NA,NA,NA,NA,NA
"34","MN25","0.1",NA,NA,NA,NA,NA
"35","MN27","0.15",NA,NA,NA,NA,NA
"36","MN37","0.16",NA,NA,NA,NA,NA
"37","MN38","0.15",NA,NA,NA,NA,NA
"38","MN42","0.17",NA,NA,NA,NA,NA
"39","MN57","0.14",NA,NA,NA,NA,NA
"40","MN68","0.17",NA,NA,NA,NA,NA
"41","MN26","0.15",NA,NA,"","n",0
"42","MN56","0.15",NA,NA,"","n",NA
"43","MN61","0.16",NA,NA,"","n",NA
"44","MN47","0.18","",NA,NA,NA,NA
"45","MN49","0.16","",NA,NA,NA,NA
"46","MN50","0.15","",NA,NA,NA,NA
"47","MN52","0.16","",NA,NA,NA,NA
"48","MN53","0.15","",NA,NA,NA,NA
"49","MN72","0.14","",NA,NA,NA,NA
"50","MN73","dead","",NA,NA,NA,NA
"51","MN74","0.18","",NA,NA,NA,NA
"52","MN75","0.17","",NA,NA,NA,NA
"53","MN1","0.17","",NA,"","n",0
"54","MN2","0.14","",NA,"","n",0
"55","MN7","0.15","",NA,"","n",0
"56","MN8","0.17","",NA,"","n",0
"57","MN11","0.13","",NA,"","n",0
"58","MN16","0.16","",NA,"","n",0
"59","MN19","0.14","",NA,"","n",0
"60","MN33","0.18","",NA,"","n",0
"61","MN34","0.14","",NA,NA,NA,NA
"62","MN35","0.12","",NA,"","n",0
"63","MN36","0.15","",NA,NA,NA,NA
"64","MN39","0.16","",NA,"","n",0
"65","MN45","0.18","",NA,"","n",NA
"66","MN46","0.13","",NA,"","n",NA
"67","MN51","0.18","",NA,"","n",NA
"68","MN62","0.18","",NA,"","n",NA
"69","MN63A","0.16","",NA,"","n",NA
"70","MN64","0.15","",NA,"","n",NA
"71","MN65","0.14","",NA,"","n",NA
"72","MN66","0.17","",NA,NA,NA,NA
