,ID,NestID,x,y
1,MN30,1,-0.95,0.95
2,MN12,2,-0.4,0.9
3,MN17,2,-0.4,0.8
4,MN28,2,-0.2,0.9
5,MN32,2,-0.2,0.8
6,MN13A,4,-0.95,0.8
7,MN13B,4,-0.95,0.7
8,MN54,8,-0.5,0.5
9,MN71,8,-0.5,0.4
10,MN43,13,-0.95,0.3
11,MN58,19,0.1,0.9
12,MN15,21,0.1,0.7
13,MN23,21,0.1,0.6
14,MN29,25,-0.85,-0.1
15,MN40,25,-0.95,-0.2
16,MN59,25,-0.75,-0.2
17,MN18,27,0.1,0.35
18,MN76,27,-0.5,0.25
19,MN63B,27,0.15,0.25
20,MN41,28,0.1,-0.05
21,MN44,28,0.1,-0.15
22,MN20,36,-0.3,-0.2
23,MN21,36,-0.3,-0.1
24,MN22,37,-0.5,-0.5
25,MN69,37,-0.6,-0.6
26,MN70,37,-0.4,-0.6
27,MN67,38,0,-0.4
28,MN14,40,0,-0.5
29,MN60,F2,-0.1,-0.7
30,MN31,FRC,0.15,-0.6
31,MN55,FRC,0.25,-0.75
32,MN48,FRC,0,-0.65
33,MN24,NA,0.35,0.95
34,MN25,NA,0.35,0.75
35,MN27,NA,0.35,0.55
36,MN37,NA,0.35,0.35
37,MN38,NA,0.35,0.15
38,MN42,NA,0.35,-0.05
39,MN57,NA,0.35,-0.25
40,MN68,NA,0.35,-0.45
41,MN26,NA,0.35,-0.65
42,MN56,NA,0.35,-0.85
43,MN61,NA,0.55,0.9
44,MN47,,0.55,0.7
45,MN49,,0.55,0.5
46,MN50,,0.55,0.3
47,MN52,,0.55,0.1
48,MN53,,0.55,-0.1
49,MN72,,0.55,-0.3
50,MN73,,0.55,-0.5
51,MN74,,0.55,-0.7
52,MN75,,0.55,-0.9
53,MN1,,0.75,0.95
54,MN2,,0.75,0.75
55,MN7,,0.75,0.55
56,MN8,,0.75,0.35
57,MN11,,0.75,0.15
58,MN16,,0.75,-0.05
59,MN19,,0.75,-0.25
60,MN33,,0.75,-0.45
61,MN34,,0.75,-0.65
62,MN35,,0.75,-0.85
63,MN36,,0.75,-0.95
64,MN39,,0.95,0.9
65,MN45,,0.95,0.7
66,MN46,,0.95,0.5
67,MN51,,0.95,0.3
68,MN62,,0.95,0.1
69,MN63A,,0.95,-0.1
70,MN64,,0.95,-0.3
71,MN65,,0.95,-0.5
72,MN66,,0.95,-0.7
